frame,inst_idx,track_id,bbox_conf,label,dist_cat_a,dist_cat_b,reason,bbox
143,1,1,0.787,黑白貓,0.867,0.468,,"1486,823,2048,1228"
144,0,1,0.913,黑白貓,0.932,0.490,,"1486,849,2019,1212"
144,1,3,0.863,橘貓（目標貓）,0.188,0.479,,"1000,428,1335,822"
145,0,1,0.916,黑白貓,0.925,0.487,,"1490,845,2010,1204"
145,1,3,0.865,橘貓（目標貓）,0.191,0.473,,"998,428,1346,820"
146,0,1,0.910,黑白貓,0.875,0.438,,"1496,839,2018,1219"
146,1,3,0.876,橘貓（目標貓）,0.200,0.473,,"1000,429,1342,825"
147,0,3,0.837,橘貓（目標貓）,0.198,0.475,,"1004,432,1338,825"
148,0,3,0.811,橘貓（目標貓）,0.197,0.470,,"1003,431,1335,824"
149,0,3,0.528,橘貓（目標貓）,0.194,0.467,,"1004,429,1312,816"
150,0,3,0.832,橘貓（目標貓）,0.185,0.479,,"1003,429,1335,812"
151,0,3,0.884,橘貓（目標貓）,0.144,0.480,,"1004,431,1355,820"
152,0,3,0.876,橘貓（目標貓）,0.145,0.481,,"1004,431,1354,817"
153,0,3,0.863,橘貓（目標貓）,0.146,0.480,,"1005,434,1351,817"
154,0,3,0.865,橘貓（目標貓）,0.146,0.478,,"1005,433,1350,817"
155,0,3,0.808,橘貓（目標貓）,0.148,0.479,,"1006,434,1346,814"
156,0,3,0.865,橘貓（目標貓）,0.145,0.478,,"1006,434,1352,818"
157,0,3,0.827,橘貓（目標貓）,0.148,0.480,,"1006,434,1347,814"
158,0,3,0.878,橘貓（目標貓）,0.146,0.479,,"1005,434,1353,818"
159,0,3,0.836,橘貓（目標貓）,0.149,0.484,,"1006,435,1349,816"
160,0,3,0.859,橘貓（目標貓）,0.148,0.485,,"1006,435,1351,816"
161,0,3,0.878,橘貓（目標貓）,0.146,0.482,,"1006,435,1353,823"
162,0,3,0.860,橘貓（目標貓）,0.139,0.485,,"1007,436,1350,817"
163,0,3,0.852,橘貓（目標貓）,0.139,0.485,,"1007,436,1351,816"
164,0,3,0.880,橘貓（目標貓）,0.138,0.482,,"1006,436,1354,824"
165,0,3,0.889,橘貓（目標貓）,0.138,0.483,,"1006,436,1359,825"
166,0,3,0.889,橘貓（目標貓）,0.141,0.486,,"1005,436,1358,824"
167,0,3,0.863,橘貓（目標貓）,0.143,0.488,,"1007,436,1351,819"
168,0,3,0.882,橘貓（目標貓）,0.141,0.485,,"1005,436,1354,822"
169,0,3,0.877,橘貓（目標貓）,0.142,0.486,,"1006,436,1353,822"
170,0,3,0.869,橘貓（目標貓）,0.142,0.486,,"1006,437,1352,819"
171,0,3,0.862,橘貓（目標貓）,0.143,0.486,,"1006,437,1351,818"
172,0,3,0.869,橘貓（目標貓）,0.142,0.486,,"1006,438,1353,818"
173,0,3,0.894,橘貓（目標貓）,0.145,0.487,,"1006,438,1358,827"
174,0,3,0.879,橘貓（目標貓）,0.145,0.485,,"1008,438,1355,820"
175,0,3,0.830,橘貓（目標貓）,0.144,0.487,,"1009,438,1351,814"
176,0,3,0.754,橘貓（目標貓）,0.145,0.488,,"1010,439,1348,812"
177,0,3,0.881,橘貓（目標貓）,0.145,0.484,,"1008,438,1355,820"
178,0,3,0.886,橘貓（目標貓）,0.145,0.484,,"1008,438,1356,824"
179,0,3,0.867,橘貓（目標貓）,0.145,0.485,,"1008,438,1352,816"
180,0,3,0.883,橘貓（目標貓）,0.144,0.485,,"1009,438,1357,823"
181,0,6,0.878,黑白貓,0.748,0.365,,"1306,809,2020,1239"
182,0,3,0.710,橘貓（目標貓）,0.154,0.482,,"1010,439,1275,809"
183,0,6,0.897,黑白貓,0.697,0.362,,"1304,774,2027,1244"
183,1,3,0.630,橘貓（目標貓）,0.152,0.491,,"1011,438,1287,812"
184,0,6,0.888,黑白貓,0.697,0.358,,"1304,770,2022,1241"
184,1,3,0.617,橘貓（目標貓）,0.152,0.491,,"1011,439,1291,812"
185,0,3,0.564,橘貓（目標貓）,0.151,0.483,,"1011,440,1270,810"
186,0,6,0.929,黑白貓,0.702,0.383,,"1304,774,2025,1244"
187,0,6,0.924,黑白貓,0.699,0.358,,"1298,780,2025,1247"
187,1,3,0.521,橘貓（目標貓）,0.151,0.483,,"1011,438,1275,808"
189,0,6,0.889,黑白貓,0.724,0.399,,"1302,814,2048,1236"
190,0,6,0.923,黑白貓,0.712,0.351,,"1311,826,2059,1237"
191,0,6,0.924,黑白貓,0.723,0.355,,"1312,821,2057,1234"
192,0,6,0.919,黑白貓,0.728,0.350,,"1346,817,2060,1234"
192,1,3,0.652,橘貓（目標貓）,0.156,0.487,,"1010,438,1281,814"
193,0,6,0.909,黑白貓,0.728,0.321,,"1470,819,2058,1227"
193,1,3,0.859,橘貓（目標貓）,0.153,0.499,,"1006,439,1317,819"
194,0,6,0.919,黑白貓,0.722,0.334,,"1505,818,2059,1227"
194,1,3,0.856,橘貓（目標貓）,0.152,0.501,,"1005,439,1321,819"
195,0,6,0.916,黑白貓,0.702,0.346,,"1480,821,2060,1228"
195,1,3,0.857,橘貓（目標貓）,0.148,0.502,,"1006,439,1328,819"
196,0,6,0.917,黑白貓,0.707,0.369,,"1477,823,2060,1229"
196,1,3,0.855,橘貓（目標貓）,0.149,0.501,,"1007,439,1326,818"
197,0,6,0.917,黑白貓,0.696,0.368,,"1479,820,2059,1228"
197,1,3,0.861,橘貓（目標貓）,0.147,0.502,,"1006,439,1332,819"
198,0,6,0.915,黑白貓,0.702,0.331,,"1482,822,2059,1226"
198,1,3,0.865,橘貓（目標貓）,0.147,0.503,,"1006,439,1335,819"
199,0,6,0.917,黑白貓,0.664,0.326,,"1472,820,2058,1227"
199,1,3,0.848,橘貓（目標貓）,0.151,0.500,,"1006,439,1324,817"
200,0,6,0.919,黑白貓,0.661,0.346,,"1470,816,2059,1229"
200,1,3,0.850,橘貓（目標貓）,0.150,0.501,,"1006,439,1327,817"
201,0,6,0.918,黑白貓,0.677,0.361,,"1469,814,2057,1226"
201,1,3,0.856,橘貓（目標貓）,0.151,0.499,,"1006,439,1324,817"
202,0,6,0.920,黑白貓,0.684,0.342,,"1466,816,2057,1227"
202,1,3,0.845,橘貓（目標貓）,0.152,0.500,,"1007,439,1321,816"
203,0,6,0.920,黑白貓,0.700,0.362,,"1466,819,2057,1224"
203,1,3,0.852,橘貓（目標貓）,0.151,0.502,,"1007,439,1324,817"
204,0,6,0.919,黑白貓,0.711,0.425,,"1464,821,2055,1220"
204,1,3,0.853,橘貓（目標貓）,0.151,0.502,,"1006,439,1323,818"
205,0,6,0.917,黑白貓,0.718,0.415,,"1462,821,2057,1227"
205,1,3,0.855,橘貓（目標貓）,0.151,0.501,,"1007,439,1322,819"
206,0,6,0.915,黑白貓,0.713,0.437,,"1463,821,2059,1231"
206,1,3,0.850,橘貓（目標貓）,0.153,0.499,,"1007,439,1316,818"
207,0,6,0.912,黑白貓,0.733,0.371,,"1466,834,2034,1238"
207,1,3,0.845,橘貓（目標貓）,0.154,0.497,,"1008,439,1310,818"
208,0,3,0.883,橘貓（目標貓）,0.139,0.505,,"1006,439,1358,823"
209,0,3,0.858,橘貓（目標貓）,0.149,0.501,,"1008,439,1321,820"
210,0,3,0.776,橘貓（目標貓）,0.156,0.478,,"1009,440,1266,816"
211,0,3,0.825,橘貓（目標貓）,0.143,0.470,,"1009,441,1286,818"
212,0,6,0.900,黑白貓,0.727,0.367,,"1400,828,2023,1227"
212,1,3,0.702,橘貓（目標貓）,0.146,0.462,,"1010,442,1262,816"
213,0,3,0.593,橘貓（目標貓）,0.141,0.474,,"1009,442,1292,821"
216,0,6,0.923,黑白貓,0.800,0.447,,"1574,818,2156,1171"
216,1,3,0.868,橘貓（目標貓）,0.140,0.494,,"1007,442,1346,821"
217,0,6,0.911,黑白貓,0.815,0.431,,"1551,853,2186,1193"
218,0,6,0.728,黑白貓,0.774,0.367,,"1367,863,2170,1248"
219,0,6,0.927,黑白貓,0.781,0.394,,"1498,848,2152,1238"
220,0,6,0.933,黑白貓,0.772,0.378,,"1492,834,2145,1256"
221,0,6,0.931,黑白貓,0.733,0.378,,"1481,828,2145,1246"
222,0,6,0.931,黑白貓,0.762,0.396,,"1423,864,2145,1237"
223,0,6,0.931,黑白貓,0.798,0.406,,"1379,877,2164,1228"
224,0,6,0.919,黑白貓,0.801,0.401,,"1430,873,2170,1225"
225,0,6,0.918,黑白貓,0.800,0.416,,"1487,862,2165,1224"
226,0,6,0.909,黑白貓,0.823,0.408,,"1444,855,2168,1231"
