frame,inst_idx,track_id,bbox_conf,label,dist_cat_a,dist_cat_b,reason,bbox
130,0,4,0.919,橘貓（目標貓）,0.158,0.369,,"886,305,1356,924"
130,1,6,0.916,黑白貓,0.627,0.424,,"162,731,803,1199"
131,0,4,0.930,橘貓（目標貓）,0.160,0.367,,"879,301,1354,928"
132,0,4,0.930,橘貓（目標貓）,0.160,0.367,,"881,302,1355,928"
133,0,4,0.927,橘貓（目標貓）,0.165,0.365,,"880,303,1361,925"
133,1,6,0.783,黑白貓,0.627,0.426,,"134,727,755,1190"
134,0,4,0.926,橘貓（目標貓）,0.167,0.364,,"881,303,1363,924"
134,1,6,0.904,黑白貓,0.615,0.401,,"142,726,759,1187"
135,0,4,0.926,橘貓（目標貓）,0.161,0.366,,"880,304,1352,925"
136,0,4,0.925,橘貓（目標貓）,0.160,0.368,,"879,304,1350,924"
136,1,6,0.817,黑白貓,0.634,0.356,,"124,720,749,1190"
137,0,4,0.929,橘貓（目標貓）,0.183,0.359,,"880,305,1380,924"
137,1,6,0.900,黑白貓,0.635,0.339,,"127,701,746,1186"
138,0,4,0.921,橘貓（目標貓）,0.180,0.358,,"879,305,1378,922"
138,1,6,0.901,黑白貓,0.684,0.359,,"116,626,740,1185"
139,0,4,0.927,橘貓（目標貓）,0.176,0.360,,"881,304,1374,924"
139,1,6,0.891,黑白貓,0.657,0.358,,"123,575,744,1187"
140,0,4,0.913,橘貓（目標貓）,0.158,0.364,,"887,305,1364,924"
140,1,6,0.895,黑白貓,0.624,0.353,,"120,491,775,1190"
141,0,6,0.933,黑白貓,0.565,0.344,,"123,416,770,1191"
141,1,4,0.911,橘貓（目標貓）,0.152,0.370,,"891,311,1363,922"
142,0,6,0.929,黑白貓,0.551,0.328,,"126,407,760,1192"
142,1,4,0.917,橘貓（目標貓）,0.155,0.366,,"888,308,1363,923"
143,0,6,0.927,黑白貓,0.545,0.338,,"141,405,753,1191"
143,1,4,0.920,橘貓（目標貓）,0.151,0.367,,"885,303,1358,925"
144,0,4,0.926,橘貓（目標貓）,0.146,0.369,,"882,304,1356,927"
144,1,6,0.924,黑白貓,0.559,0.339,,"142,407,733,1192"
145,0,4,0.928,橘貓（目標貓）,0.147,0.369,,"881,304,1356,927"
145,1,6,0.923,黑白貓,0.564,0.345,,"141,409,718,1192"
146,0,4,0.929,橘貓（目標貓）,0.154,0.369,,"879,304,1361,927"
146,1,6,0.921,黑白貓,0.579,0.365,,"142,405,707,1192"
147,0,4,0.931,橘貓（目標貓）,0.155,0.367,,"878,303,1363,927"
147,1,6,0.926,黑白貓,0.586,0.358,,"142,398,687,1192"
148,0,4,0.932,橘貓（目標貓）,0.161,0.364,,"877,303,1369,927"
148,1,6,0.924,黑白貓,0.591,0.361,,"141,397,676,1193"
149,0,4,0.930,橘貓（目標貓）,0.150,0.376,,"877,304,1356,928"
149,1,6,0.928,黑白貓,0.583,0.345,,"139,397,683,1192"
150,0,6,0.930,黑白貓,0.589,0.356,,"140,398,678,1189"
150,1,4,0.929,橘貓（目標貓）,0.150,0.376,,"876,304,1355,928"
151,0,4,0.931,橘貓（目標貓）,0.186,0.393,,"880,304,1359,930"
151,1,6,0.928,黑白貓,0.657,0.372,,"138,399,688,1190"
152,0,4,0.931,橘貓（目標貓）,0.186,0.395,,"880,304,1357,930"
152,1,6,0.930,黑白貓,0.668,0.379,,"138,400,681,1190"
153,0,4,0.929,橘貓（目標貓）,0.186,0.394,,"879,303,1358,930"
153,1,6,0.915,黑白貓,0.624,0.392,,"137,399,656,1184"
154,0,4,0.928,橘貓（目標貓）,0.187,0.395,,"879,303,1355,929"
154,1,6,0.905,黑白貓,0.641,0.395,,"141,388,661,1190"
155,0,4,0.931,橘貓（目標貓）,0.187,0.395,,"878,302,1355,930"
155,1,6,0.920,黑白貓,0.632,0.398,,"140,389,648,1189"
156,0,4,0.931,橘貓（目標貓）,0.184,0.396,,"879,303,1354,930"
156,1,6,0.919,黑白貓,0.628,0.363,,"141,388,628,1189"
157,0,4,0.931,橘貓（目標貓）,0.183,0.395,,"880,303,1355,930"
157,1,6,0.911,黑白貓,0.658,0.349,,"142,377,624,1188"
158,0,4,0.931,橘貓（目標貓）,0.178,0.392,,"880,304,1358,930"
158,1,6,0.912,黑白貓,0.681,0.345,,"142,387,612,1189"
159,0,4,0.932,橘貓（目標貓）,0.177,0.391,,"882,303,1359,931"
159,1,6,0.894,黑白貓,0.687,0.361,,"138,384,611,1186"
160,0,4,0.932,橘貓（目標貓）,0.180,0.391,,"882,303,1359,931"
160,1,6,0.868,黑白貓,0.693,0.362,,"136,378,609,1187"
161,0,4,0.933,橘貓（目標貓）,0.181,0.390,,"882,303,1361,930"
161,1,6,0.882,黑白貓,0.677,0.353,,"135,375,614,1189"
162,0,4,0.932,橘貓（目標貓）,0.181,0.390,,"880,302,1361,930"
162,1,6,0.894,黑白貓,0.701,0.357,,"137,368,618,1188"
163,0,4,0.932,橘貓（目標貓）,0.181,0.390,,"880,302,1361,930"
163,1,6,0.895,黑白貓,0.688,0.352,,"138,366,618,1189"
164,0,4,0.932,橘貓（目標貓）,0.182,0.391,,"880,302,1360,930"
164,1,6,0.887,黑白貓,0.687,0.351,,"137,370,622,1189"
165,0,4,0.930,橘貓（目標貓）,0.181,0.389,,"882,301,1361,931"
166,0,4,0.930,橘貓（目標貓）,0.180,0.388,,"884,302,1363,933"
167,0,4,0.929,橘貓（目標貓）,0.180,0.386,,"883,301,1365,933"
168,0,4,0.933,橘貓（目標貓）,0.179,0.389,,"883,300,1361,937"
169,0,4,0.933,橘貓（目標貓）,0.179,0.390,,"883,300,1360,937"
170,0,4,0.933,橘貓（目標貓）,0.180,0.391,,"883,300,1360,938"
171,0,4,0.929,橘貓（目標貓）,0.174,0.393,,"884,304,1357,935"
172,0,4,0.908,橘貓（目標貓）,0.171,0.394,,"887,303,1350,930"
172,1,6,0.669,黑白貓,0.786,0.365,,"8,527,454,1155"
173,0,4,0.914,橘貓（目標貓）,0.172,0.393,,"887,303,1351,931"
173,1,6,0.535,黑白貓,0.774,0.315,,"8,560,466,1180"
174,0,4,0.929,橘貓（目標貓）,0.179,0.385,,"884,300,1363,938"
174,1,6,0.565,黑白貓,0.771,0.295,,"3,493,333,1255"
175,0,4,0.930,橘貓（目標貓）,0.178,0.384,,"885,300,1364,938"
176,0,4,0.929,橘貓（目標貓）,0.176,0.388,,"884,303,1360,938"
177,0,4,0.921,橘貓（目標貓）,0.173,0.388,,"886,301,1356,934"
178,0,4,0.909,橘貓（目標貓）,0.171,0.392,,"887,302,1349,933"
179,0,4,0.913,橘貓（目標貓）,0.171,0.391,,"887,302,1350,933"
179,1,6,0.581,黑白貓,0.840,0.424,,"9,428,292,1187"
180,0,4,0.930,橘貓（目標貓）,0.175,0.384,,"884,300,1361,938"
181,0,4,0.932,橘貓（目標貓）,0.177,0.387,,"884,298,1358,940"
182,0,4,0.932,橘貓（目標貓）,0.177,0.386,,"884,298,1358,940"
183,0,4,0.932,橘貓（目標貓）,0.177,0.388,,"885,297,1357,941"
184,0,4,0.932,橘貓（目標貓）,0.177,0.388,,"885,298,1357,941"
185,0,4,0.932,橘貓（目標貓）,0.176,0.388,,"885,297,1358,941"
186,0,4,0.932,橘貓（目標貓）,0.175,0.385,,"885,298,1359,941"
187,0,4,0.932,橘貓（目標貓）,0.174,0.383,,"885,298,1358,941"
188,0,4,0.932,橘貓（目標貓）,0.173,0.384,,"885,298,1356,941"
189,0,4,0.932,橘貓（目標貓）,0.171,0.385,,"883,300,1356,940"
190,0,4,0.931,橘貓（目標貓）,0.172,0.384,,"882,300,1355,940"
191,0,4,0.932,橘貓（目標貓）,0.171,0.384,,"882,299,1355,940"
192,0,4,0.932,橘貓（目標貓）,0.168,0.384,,"882,299,1354,940"
193,0,4,0.931,橘貓（目標貓）,0.166,0.383,,"882,299,1355,940"
194,0,4,0.931,橘貓（目標貓）,0.165,0.384,,"884,298,1354,940"
195,0,4,0.929,橘貓（目標貓）,0.163,0.387,,"888,287,1353,940"
196,0,4,0.928,橘貓（目標貓）,0.162,0.387,,"889,280,1347,941"
197,0,4,0.928,橘貓（目標貓）,0.162,0.384,,"890,268,1348,942"
198,0,4,0.928,橘貓（目標貓）,0.165,0.379,,"892,260,1352,943"
199,0,4,0.927,橘貓（目標貓）,0.167,0.378,,"893,257,1352,943"
200,0,4,0.927,橘貓（目標貓）,0.168,0.375,,"895,252,1353,944"
201,0,4,0.925,橘貓（目標貓）,0.170,0.377,,"896,243,1349,944"
202,0,4,0.924,橘貓（目標貓）,0.170,0.375,,"896,239,1348,943"
203,0,4,0.924,橘貓（目標貓）,0.171,0.374,,"897,236,1351,943"
204,0,4,0.924,橘貓（目標貓）,0.173,0.369,,"898,237,1359,943"
205,0,4,0.924,橘貓（目標貓）,0.176,0.369,,"899,237,1360,943"
206,0,4,0.924,橘貓（目標貓）,0.177,0.371,,"901,235,1358,943"
207,0,4,0.924,橘貓（目標貓）,0.178,0.370,,"901,233,1360,943"
208,0,4,0.923,橘貓（目標貓）,0.178,0.369,,"900,233,1360,943"
209,0,4,0.923,橘貓（目標貓）,0.178,0.369,,"900,234,1360,943"
210,0,4,0.923,橘貓（目標貓）,0.179,0.370,,"902,234,1358,943"
211,0,4,0.923,橘貓（目標貓）,0.188,0.410,,"901,236,1341,941"
212,0,4,0.923,橘貓（目標貓）,0.188,0.410,,"901,236,1341,941"
213,0,4,0.922,橘貓（目標貓）,0.189,0.408,,"902,235,1341,941"
214,0,4,0.923,橘貓（目標貓）,0.188,0.407,,"902,234,1340,941"
215,0,4,0.923,橘貓（目標貓）,0.188,0.406,,"902,234,1340,941"
216,0,4,0.923,橘貓（目標貓）,0.188,0.405,,"902,234,1340,941"
217,0,4,0.923,橘貓（目標貓）,0.186,0.406,,"902,233,1341,941"
218,0,4,0.923,橘貓（目標貓）,0.184,0.407,,"902,231,1339,941"
219,0,4,0.923,橘貓（目標貓）,0.185,0.408,,"902,230,1339,941"
220,0,4,0.924,橘貓（目標貓）,0.185,0.408,,"902,230,1339,941"
221,0,4,0.924,橘貓（目標貓）,0.185,0.408,,"902,230,1339,941"
222,0,4,0.923,橘貓（目標貓）,0.186,0.408,,"902,230,1339,941"
223,0,4,0.923,橘貓（目標貓）,0.186,0.408,,"902,230,1338,941"
224,0,4,0.924,橘貓（目標貓）,0.186,0.408,,"902,230,1339,941"
225,0,4,0.924,橘貓（目標貓）,0.186,0.408,,"902,230,1339,941"
226,0,4,0.923,橘貓（目標貓）,0.186,0.408,,"902,230,1339,942"
227,0,4,0.924,橘貓（目標貓）,0.186,0.408,,"902,230,1339,942"
228,0,4,0.924,橘貓（目標貓）,0.186,0.406,,"902,230,1343,941"
229,0,4,0.924,橘貓（目標貓）,0.184,0.407,,"902,230,1344,942"
230,0,4,0.924,橘貓（目標貓）,0.184,0.407,,"902,230,1343,942"
231,0,4,0.924,橘貓（目標貓）,0.184,0.408,,"902,230,1342,942"
232,0,4,0.923,橘貓（目標貓）,0.185,0.408,,"903,230,1342,942"
233,0,4,0.923,橘貓（目標貓）,0.185,0.408,,"903,230,1342,942"
234,0,4,0.923,橘貓（目標貓）,0.184,0.408,,"902,230,1341,942"
235,0,4,0.923,橘貓（目標貓）,0.184,0.408,,"903,230,1340,942"
236,0,4,0.923,橘貓（目標貓）,0.184,0.407,,"903,230,1341,942"
237,0,4,0.923,橘貓（目標貓）,0.185,0.407,,"903,230,1341,941"
238,0,4,0.923,橘貓（目標貓）,0.184,0.407,,"903,230,1341,941"
239,0,4,0.923,橘貓（目標貓）,0.188,0.408,,"903,230,1336,941"
240,0,4,0.923,橘貓（目標貓）,0.187,0.408,,"903,230,1335,941"
241,0,4,0.925,橘貓（目標貓）,0.212,0.402,,"903,230,1370,946"
