video_idx,video_path,playback_pass,frame_step,source_fps,model_input_fps,frame,processed_frame,processed_frame_global,time_sec,left_ear_x,left_ear_y,right_ear_x,right_ear_y,distance_px,distance_norm,ray_end_x,ray_end_y,ray_norm_x,ray_norm_y,lick_zone,lick_axis_score,lick_lateral_score,nearest_target_label,nearest_target_t,limb_hit_any,limb_hit_labels,limb_hit_fl_frame,limb_hit_fr_frame,limb_hit_hl_frame,limb_hit_hr_frame,limb_entry_count_fl,limb_entry_count_fr,limb_entry_count_hl,limb_entry_count_hr,target_entry_count,tail_entry_count,lick_time_body_sec,lick_time_fl_sec,lick_time_fr_sec,lick_time_hl_sec,lick_time_hr_sec,lick_time_tail_sec,lick_sec_per_hit_body,lick_sec_per_hit_fl,lick_sec_per_hit_fr,lick_sec_per_hit_hl,lick_sec_per_hit_hr,lick_sec_per_hit_tail,lick_pref_pct_body,lick_pref_pct_fl,lick_pref_pct_fr,lick_pref_pct_hl,lick_pref_pct_hr,lick_pref_pct_tail,nose_detected,gaze_forward_norm,gaze_lateral_norm,gaze_angle_deg,face_state_cat,face_state_raw,face_state,state_stability,valid
1,C:\Users\homec\OneDrive\圖片\貓咪圖像資料集\1_貓咪姿勢影片分類\未被選擇的模型影片\lick\lick_104.mp4,0,1,24.0,24.0,21,21,21,0.875,892.0,265.5,885.0,246.25,20.483225,0.0367336,1185.1334,1104.9882,0.926609,1.0,NO_TARGET,,,NO_TARGET,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.7855,0.0299,2.18,FACING_CAMERA,FACING_CAMERA,FACING_CAMERA,0.8095,1
1,C:\Users\homec\OneDrive\圖片\貓咪圖像資料集\1_貓咪姿勢影片分類\未被選擇的模型影片\lick\lick_104.mp4,0,1,24.0,24.0,22,22,22,0.916667,892.0,266.75,885.0,246.25,21.662179,0.03889761,1183.1732,1106.2898,0.925077,1.0,NO_TARGET,,,NO_TARGET,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.7859,0.0302,2.2,FACING_CAMERA,FACING_CAMERA,FACING_CAMERA,0.8182,1
1,C:\Users\homec\OneDrive\圖片\貓咪圖像資料集\1_貓咪姿勢影片分類\未被選擇的模型影片\lick\lick_104.mp4,0,1,24.0,24.0,23,23,23,0.958333,892.5,267.25,885.0,246.0,22.534695,0.04042684,1181.7953,1106.7539,0.923999,1.0,NO_TARGET,,,NO_TARGET,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.7856,0.0308,2.24,FACING_CAMERA,FACING_CAMERA,FACING_CAMERA,0.8261,1
1,C:\Users\homec\OneDrive\圖片\貓咪圖像資料集\1_貓咪姿勢影片分類\未被選擇的模型影片\lick\lick_104.mp4,0,1,24.0,24.0,24,24,24,1.0,892.0,267.0,884.5,246.25,22.063828,0.03958085,1180.7689,1106.7117,0.923197,1.0,NO_TARGET,,,NO_TARGET,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.7847,0.0304,2.22,FACING_CAMERA,FACING_CAMERA,FACING_CAMERA,0.8333,1
1,C:\Users\homec\OneDrive\圖片\貓咪圖像資料集\1_貓咪姿勢影片分類\未被選擇的模型影片\lick\lick_104.mp4,0,1,24.0,24.0,25,25,25,1.041667,892.0,267.0,885.0,246.25,21.898915,0.03928752,1179.6217,1106.9678,0.9223,1.0,NO_TARGET,,,NO_TARGET,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.7848,0.0297,2.17,FACING_CAMERA,FACING_CAMERA,FACING_CAMERA,0.84,1
1,C:\Users\homec\OneDrive\圖片\貓咪圖像資料集\1_貓咪姿勢影片分類\未被選擇的模型影片\lick\lick_104.mp4,0,1,24.0,24.0,26,26,26,1.083333,892.0,267.0,884.5,246.0,22.299103,0.04000547,1178.1999,1107.0198,0.921188,1.0,NO_TARGET,,,NO_TARGET,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.7839,0.0292,2.13,FACING_CAMERA,FACING_CAMERA,FACING_CAMERA,0.8462,1
1,C:\Users\homec\OneDrive\圖片\貓咪圖像資料集\1_貓咪姿勢影片分類\未被選擇的模型影片\lick\lick_104.mp4,0,1,24.0,24.0,27,27,27,1.125,892.5,265.5,884.5,245.0,22.005681,0.03947654,1176.5971,1106.1761,0.919935,1.0,NO_TARGET,,,NO_TARGET,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.7847,0.0304,2.22,FACING_CAMERA,FACING_CAMERA,FACING_CAMERA,0.8519,1
1,C:\Users\homec\OneDrive\圖片\貓咪圖像資料集\1_貓咪姿勢影片分類\未被選擇的模型影片\lick\lick_104.mp4,0,1,24.0,24.0,28,28,28,1.166667,893.0,265.5,885.0,244.25,22.706001,0.04073022,1175.4846,1106.1223,0.919065,1.0,NO_TARGET,,,NO_TARGET,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.7845,0.0324,2.37,FACING_CAMERA,FACING_CAMERA,FACING_CAMERA,0.8571,1
1,C:\Users\homec\OneDrive\圖片\貓咪圖像資料集\1_貓咪姿勢影片分類\未被選擇的模型影片\lick\lick_104.mp4,0,1,24.0,24.0,29,29,29,1.208333,894.0,265.25,884.5,243.5,23.734205,0.04253795,1171.6377,1106.7675,0.916058,1.0,NO_TARGET,,,NO_TARGET,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.7834,0.0322,2.35,FACING_CAMERA,FACING_CAMERA,FACING_CAMERA,0.8621,1
1,C:\Users\homec\OneDrive\圖片\貓咪圖像資料集\1_貓咪姿勢影片分類\未被選擇的模型影片\lick\lick_104.mp4,0,1,24.0,24.0,30,30,30,1.25,894.5,265.0,884.0,243.0,24.377243,0.04369325,1168.2126,1107.2973,0.91338,1.0,NO_TARGET,,,NO_TARGET,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.7835,0.0306,2.24,FACING_CAMERA,FACING_CAMERA,FACING_CAMERA,0.8667,1
